run,pipes,stages,samples,max_copy,scheduler,buffer,time
0,6,11,200000000,512,flow,circ,7.340195854
0,6,11,200000000,512,flow,slab,3.332616813
0,6,11,200000000,512,smol1,circ,27.412995916
0,6,11,200000000,512,smol1,slab,14.921757361000001
0,6,11,200000000,512,smoln,circ,12.655706164
0,6,11,200000000,512,smoln,slab,7.543291207
0,6,1,200000000,512,flow,circ,1.834501302
0,6,1,200000000,512,flow,slab,0.346148264
0,6,1,200000000,512,smol1,circ,6.524260207
0,6,1,200000000,512,smol1,slab,1.357923903
0,6,1,200000000,512,smoln,circ,3.330152622
0,6,1,200000000,512,smoln,slab,1.009350479
0,6,13,200000000,512,flow,circ,7.587111885
0,6,13,200000000,512,flow,slab,4.330825533
0,6,13,200000000,512,smol1,circ,31.791265311
0,6,13,200000000,512,smol1,slab,18.168699312
0,6,13,200000000,512,smoln,circ,14.807383761
0,6,13,200000000,512,smoln,slab,8.894192446
0,6,15,200000000,512,flow,circ,9.305880176
0,6,15,200000000,512,flow,slab,5.4039251759999996
0,6,15,200000000,512,smol1,circ,36.550504629
0,6,15,200000000,512,smol1,slab,21.689082609
0,6,15,200000000,512,smoln,circ,16.244820392
0,6,15,200000000,512,smoln,slab,10.196572602
0,6,17,200000000,512,flow,circ,10.56014771
0,6,17,200000000,512,flow,slab,7.680032435
0,6,17,200000000,512,smol1,circ,41.393062013
0,6,17,200000000,512,smol1,slab,25.406513796
0,6,17,200000000,512,smoln,circ,18.132804758
0,6,17,200000000,512,smoln,slab,11.759715984
0,6,19,200000000,512,flow,circ,11.540802319
0,6,19,200000000,512,flow,slab,8.348344958
0,6,19,200000000,512,smol1,circ,46.160647999
0,6,19,200000000,512,smol1,slab,29.270067488
0,6,19,200000000,512,smoln,circ,20.024425011
0,6,19,200000000,512,smoln,slab,13.182417404
0,6,21,200000000,512,flow,circ,12.74830276
0,6,21,200000000,512,flow,slab,10.41750776
0,6,21,200000000,512,smol1,circ,50.123186457
0,6,21,200000000,512,smol1,slab,33.245834644
0,6,21,200000000,512,smoln,circ,22.259395755
0,6,21,200000000,512,smoln,slab,15.315910874
0,6,23,200000000,512,flow,circ,13.321746081
0,6,23,200000000,512,flow,slab,11.832515175
0,6,23,200000000,512,smol1,circ,56.091915972
0,6,23,200000000,512,smol1,slab,36.23402258
0,6,23,200000000,512,smoln,circ,24.075906367
0,6,23,200000000,512,smoln,slab,16.033126316
0,6,3,200000000,512,flow,circ,2.8774794420000003
0,6,3,200000000,512,flow,slab,0.91105854
0,6,3,200000000,512,smol1,circ,10.692028
0,6,3,200000000,512,smol1,slab,3.442708181
0,6,3,200000000,512,smoln,circ,5.249992687
0,6,3,200000000,512,smoln,slab,2.364159931
0,6,5,200000000,512,flow,circ,3.883733339
0,6,5,200000000,512,flow,slab,1.404313184
0,6,5,200000000,512,smol1,circ,14.778506978
0,6,5,200000000,512,smol1,slab,5.705214457
0,6,5,200000000,512,smoln,circ,7.069549959
0,6,5,200000000,512,smoln,slab,3.735307644
0,6,7,200000000,512,flow,circ,4.977177756
0,6,7,200000000,512,flow,slab,1.96179119
0,6,7,200000000,512,smol1,circ,18.880144499
0,6,7,200000000,512,smol1,slab,8.441195382
0,6,7,200000000,512,smoln,circ,9.036882917
0,6,7,200000000,512,smoln,slab,5.059607522
0,6,9,200000000,512,flow,circ,5.983412502
0,6,9,200000000,512,flow,slab,2.600183629
0,6,9,200000000,512,smol1,circ,23.236371989
0,6,9,200000000,512,smol1,slab,11.215786195
0,6,9,200000000,512,smoln,circ,10.808793008
0,6,9,200000000,512,smoln,slab,6.290692126
1,6,11,200000000,512,flow,circ,6.760718157
1,6,11,200000000,512,flow,slab,3.308561494
1,6,11,200000000,512,smol1,circ,27.356131345
1,6,11,200000000,512,smol1,slab,14.640838294
1,6,11,200000000,512,smoln,circ,12.531937195
1,6,11,200000000,512,smoln,slab,7.629469225
1,6,1,200000000,512,flow,circ,1.814022955
1,6,1,200000000,512,flow,slab,0.347016824
1,6,1,200000000,512,smol1,circ,6.5125259
1,6,1,200000000,512,smol1,slab,1.3574668029999999
1,6,1,200000000,512,smoln,circ,3.250825249
1,6,1,200000000,512,smoln,slab,0.977921769
1,6,13,200000000,512,flow,circ,7.691065029
1,6,13,200000000,512,flow,slab,4.192701768
1,6,13,200000000,512,smol1,circ,32.081409584
1,6,13,200000000,512,smol1,slab,17.803895111
1,6,13,200000000,512,smoln,circ,14.565647123
1,6,13,200000000,512,smoln,slab,8.820924705
1,6,15,200000000,512,flow,circ,9.325212622
1,6,15,200000000,512,flow,slab,5.297404557
1,6,15,200000000,512,smol1,circ,35.876022054
1,6,15,200000000,512,smol1,slab,21.594484599
1,6,15,200000000,512,smoln,circ,16.139941854
1,6,15,200000000,512,smoln,slab,10.191926698
1,6,17,200000000,512,flow,circ,10.251442892
1,6,17,200000000,512,flow,slab,6.708632531
1,6,17,200000000,512,smol1,circ,40.670684548
1,6,17,200000000,512,smol1,slab,25.105698861
1,6,17,200000000,512,smoln,circ,17.814547026
1,6,17,200000000,512,smoln,slab,11.549207308
1,6,19,200000000,512,flow,circ,11.686227313
1,6,19,200000000,512,flow,slab,8.311839208
1,6,19,200000000,512,smol1,circ,45.578837956
1,6,19,200000000,512,smol1,slab,29.064841311
1,6,19,200000000,512,smoln,circ,20.003705623
1,6,19,200000000,512,smoln,slab,13.280069783
1,6,21,200000000,512,flow,circ,12.122626607
1,6,21,200000000,512,flow,slab,10.109653544
1,6,21,200000000,512,smol1,circ,50.11207745
1,6,21,200000000,512,smol1,slab,32.715303916
1,6,21,200000000,512,smoln,circ,21.875228402
1,6,21,200000000,512,smoln,slab,14.83962655
1,6,23,200000000,512,flow,circ,13.459509482
1,6,23,200000000,512,flow,slab,11.758116973
1,6,23,200000000,512,smol1,circ,54.64753856
1,6,23,200000000,512,smol1,slab,36.395171277
1,6,23,200000000,512,smoln,circ,24.132058759
1,6,23,200000000,512,smoln,slab,16.115898819
1,6,3,200000000,512,flow,circ,2.978250746
1,6,3,200000000,512,flow,slab,0.908940236
1,6,3,200000000,512,smol1,circ,10.552249703
1,6,3,200000000,512,smol1,slab,3.430740487
1,6,3,200000000,512,smoln,circ,5.313858314
1,6,3,200000000,512,smoln,slab,2.365054855
1,6,5,200000000,512,flow,circ,3.763081997
1,6,5,200000000,512,flow,slab,1.427582332
1,6,5,200000000,512,smol1,circ,14.817534743
1,6,5,200000000,512,smol1,slab,5.689691462
1,6,5,200000000,512,smoln,circ,7.136981112
1,6,5,200000000,512,smoln,slab,3.712880153
1,6,7,200000000,512,flow,circ,5.098027507
1,6,7,200000000,512,flow,slab,2.016525284
1,6,7,200000000,512,smol1,circ,19.10840409
1,6,7,200000000,512,smol1,slab,8.529923065
1,6,7,200000000,512,smoln,circ,9.078240737
1,6,7,200000000,512,smoln,slab,5.224646442
1,6,9,200000000,512,flow,circ,5.758928526
1,6,9,200000000,512,flow,slab,2.650187987
1,6,9,200000000,512,smol1,circ,23.033940767
1,6,9,200000000,512,smol1,slab,11.155198161
1,6,9,200000000,512,smoln,circ,10.880490203
1,6,9,200000000,512,smoln,slab,6.413981157
2,6,11,200000000,512,flow,circ,7.275320006
